gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
M,36,6890506,44657.68359,40491.60938,80.0303421,80.13330078,0.061892893,0.064468592
M,37,6891882,45862.38281,41596.77344,80.1461792,80.25400543,0.061216429,0.062957771
M,38,6893857,47077.19141,42717.87109,80.29109955,80.40329742,0.063643545,0.065771692
M,39,6894253,48302.05078,43850.45703,80.33763123,80.45244598,0.06639345,0.068160906
M,40,6898066,49537.54297,44994.85938,80.61238098,80.7286377,0.063021608,0.064800166
M,41,6897803,50782.45703,46147,80.70949554,80.82878113,0.063694268,0.066410534
M,42,6899195,52038.01563,47316.10156,80.64448547,80.77071381,0.063363768,0.065496996
M,43,6901046,53304.92969,48496.31641,80.86048889,80.98065186,0.065851286,0.068755798
M,44,6900699,54582.125,49695.63672,80.95323944,81.06861115,0.064384423,0.066482909
M,45,6902621,55873.73047,50911.40234,80.93922424,81.049263,0.062367156,0.065050572
M,46,6905172,57182.125,52143.85547,81.21257782,81.31455231,0.064222604,0.066489138
M,47,6905733,58504.89453,53392.0625,81.16989899,81.27439117,0.063962787,0.067668356
M,48,6906993,59841.38281,54651.60938,81.34688568,81.44929504,0.064417131,0.068533435
M,49,6907669,61196.59766,55933.89453,81.41809082,81.52146149,0.066585876,0.06854748
M,50,6910251,62567.41406,57237.01563,81.58702087,81.68847656,0.064972334,0.06710317
M,51,6911083,63957.65234,58558.70313,81.59507751,81.69851685,0.067045741,0.069403082
M,52,6913299,65363.46484,59900.03906,81.75986481,81.86347961,0.068250917,0.070721045
M,53,6911525,66788.20313,61262.88672,81.71517181,81.82413483,0.067234151,0.069383308
M,54,6913883,68230.16406,62647.58594,81.75286102,81.86594391,0.069914937,0.073004797
M,55,6914370,69692.42969,64051.91797,81.88453674,82.00382996,0.068975031,0.07121443
M,56,6916724,71172.32031,65475.94141,82.06732178,82.19098663,0.069835775,0.073027983
M,57,6916792,72675,66923.32813,82.16372681,82.29127502,0.070266493,0.073946401
M,58,6917326,74199.1875,68389.35156,82.1255722,82.2602005,0.070738576,0.073599592
M,59,6919174,75745.02344,69873.29688,82.3914032,82.52350616,0.069845587,0.073875517
M,60,6920258,77315.84375,71378.8125,82.43252563,82.56539154,0.070351169,0.073486961
M,61,6919780,78913.35156,72908.97656,82.33084106,82.46752167,0.070741951,0.073450714
M,62,6921973,80537.14063,74460.66406,82.57126617,82.70529175,0.072592169,0.076030716
M,63,6922674,82191.1875,76032.92969,82.70028687,82.83263397,0.070338473,0.073089637
M,64,6923788,83879.47656,77628.9375,82.68113708,82.81575775,0.071461886,0.072899103
M,65,6923807,85602.13281,79259.10938,82.80812073,82.94158936,0.070494927,0.075027026
M,66,6924523,87363.22656,80916.80469,82.80006409,82.93547058,0.070571832,0.073903285
M,67,6925999,89165.4375,82607.82813,82.92430878,83.0617218,0.075639278,0.078874208
M,68,6927788,91008.14844,84330.30469,83.18989563,83.32486725,0.072356135,0.074305102
M,69,6928682,92900.65625,86099.0625,83.13883972,83.28063202,0.072488673,0.075715259
M,70,6927859,94846.9375,87905.76563,83.22628784,83.36740875,0.07403484,0.077144489
M,71,6929822,96849.30469,89756.67969,83.44569397,83.58112335,0.072323948,0.077137023
M,72,6929837,98912.60938,91660.28906,83.50946808,83.64183807,0.070837975,0.073964357
M,73,6932036,101042.9219,93621.79688,83.62584686,83.7558136,0.074423939,0.078293808
M,74,6932490,103248.1875,95646.59375,83.51158142,83.64453888,0.074344382,0.077530801
M,75,6934106,105535.1484,97745.92969,83.65653992,83.7855072,0.073015913,0.077759899
M,76,6934238,107917.6875,99924.33594,83.91229248,84.03372955,0.073078841,0.077651076
M,77,6934767,110408.8516,102184.4375,83.87597656,83.99607849,0.074084789,0.078321852
M,78,6935314,113023.8594,104538.0234,83.89395905,84.01062012,0.07452713,0.080176517
M,79,6936617,115778.8906,106999.1484,84.04563904,84.15262604,0.075908132,0.080973968
M,80,6937262,118698.6328,109582.6406,84.08590698,84.18437958,0.077022858,0.082798623
M,81,6937663,121803.9453,112321.4219,84.17922211,84.27124786,0.076315939,0.083318718
M,82,6939328,125121.4297,115227.7266,84.29169464,84.38002777,0.076114409,0.082238622
M,83,6939339,128689.7891,118331.0938,84.38713074,84.47218323,0.078074522,0.084489398
M,84,6940913,132561.6875,121671.7969,84.56253052,84.64435577,0.075182416,0.083274692
M,85,6941815,136756.7188,125291.2422,84.55771637,84.64008331,0.074365199,0.083402738
M,86,6943845,141343.4844,129250.9141,85.00508118,85.075737,0.075753026,0.082372524
M,87,6943571,146401.9063,133605.7031,84.90841675,84.98052979,0.076579362,0.084348172
M,88,6943644,152024.2344,138460.4063,84.98403168,85.05400085,0.078297123,0.086388826
M,89,6946907,158352.875,143899.625,85.17481995,85.24214172,0.077837206,0.087555856
M,90,6947459,165601.2969,150088.875,85.33870697,85.40628052,0.076442197,0.084777087
M,91,6948512,173989.8438,157191.7344,85.54910278,85.61940765,0.074461333,0.085121498
M,92,6949788,183888.7031,165510.9375,85.75120544,85.82794189,0.077375323,0.087150231
M,93,6950928,195871.1875,175546.4531,85.83726501,85.92264557,0.076057211,0.086419843
M,94,6952574,210823.7031,187899.5313,86.07707977,86.1680603,0.077198699,0.085199006
M,95,6952182,230266.5625,203683.3906,86.04995728,86.15200043,0.076070406,0.087305963
M,96,6953071,257052.0469,224907.7188,86.21401978,86.32386017,0.075620256,0.08460626
M,97,6954378,297207.375,255743.2656,86.40608215,86.52404785,0.077476598,0.08440759
M,98,6956188,365424.25,306493.9375,86.64326477,86.77003479,0.078087099,0.085943438
M,99,6956929,511691.75,412577.4375,86.77114868,86.9130249,0.074040934,0.080363333
M,100,6958600,1982300,1406782.625,87.19271851,87.33625031,0.071876787,0.077815235
